PuzzleBoard	SolvedBoard	ProblemUid	SolutionUid
[[0,6,0,0,1,5,0,4,0],[0,5,4,0,9,0,6,0,0],[7,0,2,0,6,0,9,0,0],[0,0,5,0,0,7,0,0,1],[0,7,6,0,0,0,4,9,0],[4,0,0,9,0,0,3,0,0],[0,0,7,0,3,0,2,0,4],[0,0,9,0,7,0,5,3,0],[0,2,0,5,8,0,0,7,0]]	[[9,6,8,2,1,5,7,4,3],[1,5,4,7,9,3,6,2,8],[7,3,2,4,6,8,9,1,5],[2,9,5,3,4,7,8,6,1],[3,7,6,8,5,1,4,9,2],[4,8,1,9,2,6,3,5,7],[5,1,7,6,3,9,2,8,4],[8,4,9,1,7,2,5,3,6],[6,2,3,5,8,4,1,7,9]]	60015040054090600702060900005007001076000490400900300007030204009070530020580070	968215743154793628732468915295347861376851492481926357517639284849172536623584179
[[0,0,3,0,0,4,0,0,5],[0,1,0,0,0,9,2,4,0],[8,0,2,1,0,0,0,7,3],[0,0,0,4,0,0,0,9,1],[0,8,9,6,5,1,7,3,0],[5,3,0,0,0,2,0,0,0],[1,6,0,0,0,7,3,0,9],[0,9,7,5,0,0,0,1,0],[3,0,0,9,0,0,8,0,0]]	[[9,7,3,8,2,4,1,6,5],[6,1,5,3,7,9,2,4,8],[8,4,2,1,6,5,9,7,3],[7,2,6,4,8,3,5,9,1],[4,8,9,6,5,1,7,3,2],[5,3,1,7,9,2,6,8,4],[1,6,8,2,4,7,3,5,9],[2,9,7,5,3,8,4,1,6],[3,5,4,9,1,6,8,2,7]]	3004005010009240802100073000400091089651730530002000160007309097500010300900800	973824165615379248842165973726483591489651732531792684168247359297538416354916827
[[8,0,3,0,6,5,1,9,2],[0,5,0,0,0,0,0,0,6],[1,0,0,9,0,0,0,0,5],[0,9,1,0,0,4,3,5,0],[0,0,5,0,2,0,6,0,0],[0,3,8,7,0,0,2,1,0],[5,0,0,0,0,2,0,0,3],[3,0,0,0,0,0,0,7,0],[9,8,4,3,7,0,5,0,1]]	[[8,7,3,4,6,5,1,9,2],[4,5,9,2,1,8,7,3,6],[1,6,2,9,3,7,8,4,5],[2,9,1,6,8,4,3,5,7],[7,4,5,1,2,3,6,8,9],[6,3,8,7,5,9,2,1,4],[5,1,7,8,4,2,9,6,3],[3,2,6,5,9,1,4,7,8],[9,8,4,3,7,6,5,2,1]]	803065192050000006100900005091004350005020600038700210500002003300000070984370501	873465192459218736162937845291684357745123689638759214517842963326591478984376521
[[0,3,1,7,0,0,0,0,5],[0,0,0,0,0,4,3,7,0],[0,0,0,0,0,0,0,2,1],[0,0,9,4,0,1,2,6,8],[0,0,4,0,3,0,5,0,0],[6,2,5,8,0,9,1,0,0],[9,6,0,0,0,0,0,0,0],[0,4,3,9,0,0,0,0,0],[8,0,0,0,0,7,9,4,0]]	[[4,3,1,7,9,2,6,8,5],[2,5,8,6,1,4,3,7,9],[7,9,6,3,8,5,4,2,1],[3,7,9,4,5,1,2,6,8],[1,8,4,2,3,6,5,9,7],[6,2,5,8,7,9,1,3,4],[9,6,7,1,4,3,8,5,2],[5,4,3,9,2,8,7,1,6],[8,1,2,5,6,7,9,4,3]]	31700005000004370000000021009401268004030500625809100960000000043900000800007940	431792685258614379796385421379451268184236597625879134967143852543928716812567943
[[9,4,0,0,2,0,0,6,8],[6,3,0,0,0,5,0,7,4],[5,0,0,0,9,0,0,0,0],[0,0,5,0,0,9,0,3,0],[4,0,3,0,7,0,2,0,5],[0,2,0,5,0,0,4,0,0],[0,0,0,0,3,0,0,0,2],[3,9,0,7,0,0,0,8,1],[2,7,0,0,8,0,0,5,9]]	[[9,4,1,3,2,7,5,6,8],[6,3,2,8,1,5,9,7,4],[5,8,7,6,9,4,1,2,3],[7,1,5,2,4,9,8,3,6],[4,6,3,1,7,8,2,9,5],[8,2,9,5,6,3,4,1,7],[1,5,8,9,3,6,7,4,2],[3,9,4,7,5,2,6,8,1],[2,7,6,4,8,1,3,5,9]]	940020068630005074500090000005009030403070205020500400000030002390700081270080059	941327568632815974587694123715249836463178295829563417158936742394752681276481359
[[5,0,0,0,8,0,0,0,0],[4,0,0,0,3,0,0,0,0],[0,0,7,0,0,0,0,0,0],[2,6,9,0,7,3,8,0,5],[0,0,0,0,4,0,0,0,0],[8,0,1,6,2,0,7,3,9],[0,0,0,0,0,0,4,0,0],[0,0,0,0,1,0,0,0,6],[0,0,0,0,5,0,0,0,7]]	[[5,9,2,4,8,1,6,7,3],[4,8,6,2,3,7,5,9,1],[1,3,7,5,9,6,2,8,4],[2,6,9,1,7,3,8,4,5],[3,7,5,8,4,9,1,6,2],[8,4,1,6,2,5,7,3,9],[9,5,3,7,6,2,4,1,8],[7,2,8,3,1,4,9,5,6],[6,1,4,9,5,8,3,2,7]]	500080000400030000007000000269073805000040000801620739000000400000010006000050007	592481673486237591137596284269173845375849162841625739953762418728314956614958327
[[0,7,0,6,9,0,0,4,0],[0,0,4,0,0,0,0,0,0],[6,1,3,0,4,5,8,9,0],[0,0,7,5,3,0,1,8,2],[0,0,0,7,6,1,0,0,0],[5,3,1,0,2,8,6,0,0],[0,5,9,8,7,0,4,1,6],[0,0,0,0,0,0,9,0,0],[0,8,0,0,5,4,0,2,0]]	[[8,7,5,6,9,3,2,4,1],[9,2,4,1,8,7,3,6,5],[6,1,3,2,4,5,8,9,7],[4,6,7,5,3,9,1,8,2],[2,9,8,7,6,1,5,3,4],[5,3,1,4,2,8,6,7,9],[3,5,9,8,7,2,4,1,6],[7,4,2,3,1,6,9,5,8],[1,8,6,9,5,4,7,2,3]]	70690040004000000613045890007530182000761000531028600059870416000000900080054020	875693241924187365613245897467539182298761534531428679359872416742316958186954723
[[0,8,1,6,0,0,0,2,0],[0,0,5,0,2,1,4,0,8],[9,0,2,5,0,4,0,3,6],[7,4,0,1,0,0,5,0,0],[0,0,0,0,6,0,0,0,0],[0,0,3,0,0,5,0,9,1],[2,9,0,3,0,6,8,0,7],[6,0,7,8,9,0,3,0,0],[0,3,0,0,0,7,2,6,0]]	[[4,8,1,6,7,3,9,2,5],[3,6,5,9,2,1,4,7,8],[9,7,2,5,8,4,1,3,6],[7,4,6,1,3,9,5,8,2],[5,1,9,2,6,8,7,4,3],[8,2,3,7,4,5,6,9,1],[2,9,4,3,1,6,8,5,7],[6,5,7,8,9,2,3,1,4],[1,3,8,4,5,7,2,6,9]]	81600020005021408902504036740100500000060000003005091290306807607890300030007260	481673925365921478972584136746139582519268743823745691294316857657892314138457269
[[0,0,7,8,0,0,9,0,0],[0,8,5,9,6,0,0,0,1],[0,0,0,0,0,5,0,0,0],[0,0,0,0,0,8,0,0,0],[0,0,0,0,0,0,0,0,0],[0,0,0,6,0,0,0,0,0],[0,0,0,1,0,0,0,0,0],[8,0,0,0,3,6,1,2,0],[0,0,2,0,0,9,3,0,0]]	[[2,6,7,8,1,3,9,5,4],[4,8,5,9,6,2,7,3,1],[9,1,3,7,4,5,8,6,2],[6,2,4,3,9,8,5,1,7],[7,9,8,2,5,1,6,4,3],[3,5,1,6,7,4,2,8,9],[5,3,6,1,2,7,4,9,8],[8,7,9,4,3,6,1,2,5],[1,4,2,5,8,9,3,7,6]]	7800900085960001000005000000008000000000000000600000000100000800036120002009300	267813954485962731913745862624398517798251643351674289536127498879436125142589376
[[4,0,0,9,0,0,8,0,0],[0,1,0,2,4,0,6,0,0],[5,0,3,0,0,1,0,0,4],[0,5,6,1,0,0,4,8,0],[9,3,0,0,8,0,0,7,1],[0,7,8,0,0,4,5,6,0],[3,0,0,8,0,0,7,0,2],[0,0,5,0,1,9,0,4,0],[0,0,7,0,0,2,0,0,6]]	[[4,6,2,9,5,3,8,1,7],[7,1,9,2,4,8,6,3,5],[5,8,3,6,7,1,9,2,4],[2,5,6,1,9,7,4,8,3],[9,3,4,5,8,6,2,7,1],[1,7,8,3,2,4,5,6,9],[3,4,1,8,6,5,7,9,2],[6,2,5,7,1,9,3,4,8],[8,9,7,4,3,2,1,5,6]]	400900800010240600503001004056100480930080071078004560300800702005019040007002006	462953817719248635583671924256197483934586271178324569341865792625719348897432156
